specialty,task_type,task_size,difficulty,user_level,actual_minutes
Computer Networks,Lab Simulation,9,2,3,101
Software Engineering,System Design,18,2,2,244
Computer Networks,Security Auditing,24,2,1,465
Artificial Intelligence,Writing Code,2,2,1,43
Computer Networks,Lab Simulation,16,3,1,550
Computer Networks,Security Auditing,5,2,2,78
Software Engineering,Debugging,15,2,1,301
Software Engineering,Code Review,4,1,2,36
Computer Networks,Lab Simulation,22,2,1,413
Artificial Intelligence,Writing Code,11,3,2,245
Artificial Intelligence,Math/Algorithm Review,9,2,2,120
Computer Networks,Lab Simulation,10,2,2,156
Artificial Intelligence,Data Preprocessing,7,1,1,91
Artificial Intelligence,Reading Research Papers,8,2,2,124
Artificial Intelligence,Data Preprocessing,21,2,2,319
Software Engineering,Code Review,17,1,2,166
Computer Networks,Lab Simulation,12,2,1,261
Computer Networks,Security Auditing,22,2,3,233
Software Engineering,Code Review,1,2,2,14
Software Engineering,System Design,6,3,1,166
Computer Networks,Lab Simulation,10,1,2,84
Artificial Intelligence,Model Training,20,2,3,194
Computer Networks,Network Troubleshooting,24,3,1,877
Computer Networks,Configuring Routers,2,1,1,26
Artificial Intelligence,Reading Research Papers,18,2,2,292
Artificial Intelligence,Reading Research Papers,9,1,1,136
Software Engineering,Debugging,23,3,3,476
Computer Networks,Security Auditing,19,2,2,345
Computer Networks,Lab Simulation,23,2,3,186
Artificial Intelligence,Math/Algorithm Review,9,3,1,294
Artificial Intelligence,Reading Research Papers,17,2,2,247
Computer Networks,Lab Simulation,17,3,2,390
Artificial Intelligence,Writing Code,20,3,1,622
Computer Networks,Reading Protocols,3,2,2,43
Software Engineering,Writing Code,10,3,1,295
Computer Networks,Network Troubleshooting,2,2,3,17
Software Engineering,Reading Documentation,21,2,1,322
Software Engineering,System Design,23,1,1,408
Computer Networks,Reading Protocols,10,2,1,215
Software Engineering,Code Review,5,3,2,110
Computer Networks,Lab Simulation,13,1,3,96
Artificial Intelligence,Math/Algorithm Review,20,2,1,374
Software Engineering,Code Review,20,2,2,257
Artificial Intelligence,Data Preprocessing,14,1,2,139
Artificial Intelligence,Writing Code,10,1,2,110
Software Engineering,System Design,22,2,2,307
Artificial Intelligence,Math/Algorithm Review,2,1,2,22
Artificial Intelligence,Model Training,6,1,2,48
Artificial Intelligence,Data Preprocessing,7,2,3,83
Software Engineering,Reading Documentation,6,2,2,94
Artificial Intelligence,Math/Algorithm Review,10,2,1,188
Software Engineering,Debugging,9,2,1,175
Artificial Intelligence,Reading Research Papers,23,2,1,462
Computer Networks,Network Troubleshooting,14,2,1,236
Computer Networks,Lab Simulation,9,1,2,81
Computer Networks,Lab Simulation,13,2,1,274
Computer Networks,Configuring Routers,6,2,2,77
Computer Networks,Lab Simulation,13,1,3,74
Artificial Intelligence,Reading Research Papers,20,3,2,307
Software Engineering,Debugging,8,2,2,114
Artificial Intelligence,Math/Algorithm Review,1,2,3,10
Software Engineering,Writing Code,11,2,2,136
Artificial Intelligence,Data Preprocessing,23,2,1,534
Computer Networks,Reading Protocols,11,3,2,226
Software Engineering,Reading Documentation,21,2,2,306
Artificial Intelligence,Model Training,24,1,3,158
Computer Networks,Security Auditing,19,2,1,315
Artificial Intelligence,Writing Code,17,2,1,320
Artificial Intelligence,Math/Algorithm Review,3,2,3,32
Software Engineering,Code Review,7,2,2,90
Artificial Intelligence,Reading Research Papers,20,2,1,425
Artificial Intelligence,Reading Research Papers,15,1,1,169
Software Engineering,Debugging,11,2,1,244
Artificial Intelligence,Data Preprocessing,18,1,1,220
Software Engineering,Writing Code,3,3,2,60
Software Engineering,Reading Documentation,20,2,2,306
Software Engineering,System Design,4,1,2,44
Artificial Intelligence,Writing Code,20,1,2,229
Artificial Intelligence,Math/Algorithm Review,24,1,1,286
Artificial Intelligence,Writing Code,21,2,1,441
Artificial Intelligence,Math/Algorithm Review,11,3,2,183
Computer Networks,Lab Simulation,3,2,1,50
Software Engineering,Reading Documentation,6,2,1,107
Software Engineering,System Design,5,2,2,66
Software Engineering,System Design,16,2,1,356
Software Engineering,Reading Documentation,21,3,3,325
Computer Networks,Configuring Routers,1,2,3,11
Computer Networks,Lab Simulation,9,2,2,139
Computer Networks,Configuring Routers,8,1,2,83
Computer Networks,Configuring Routers,23,2,1,537
Computer Networks,Security Auditing,4,1,1,50
Software Engineering,System Design,19,2,2,300
Software Engineering,Code Review,21,2,2,301
Software Engineering,Reading Documentation,3,2,2,35
Artificial Intelligence,Math/Algorithm Review,17,1,1,217
Artificial Intelligence,Writing Code,24,1,1,326
Computer Networks,Lab Simulation,6,3,2,133
Artificial Intelligence,Model Training,14,2,1,235
Computer Networks,Reading Protocols,13,3,2,302
Computer Networks,Configuring Routers,2,1,1,28
Software Engineering,Code Review,18,3,1,544
Computer Networks,Reading Protocols,11,3,3,141
Computer Networks,Configuring Routers,23,3,1,791
Artificial Intelligence,Data Preprocessing,16,2,1,361
Software Engineering,Writing Code,18,2,1,377
Artificial Intelligence,Model Training,16,1,2,165
Artificial Intelligence,Data Preprocessing,13,1,3,101
Software Engineering,Code Review,2,2,2,34
Artificial Intelligence,Math/Algorithm Review,17,2,3,192
Computer Networks,Security Auditing,14,1,1,197
Software Engineering,Reading Documentation,17,2,2,233
Computer Networks,Configuring Routers,19,2,2,230
Computer Networks,Lab Simulation,8,2,2,119
Software Engineering,Code Review,2,2,3,10
Software Engineering,Code Review,1,1,2,8
Software Engineering,Writing Code,2,2,1,52
Computer Networks,Configuring Routers,6,3,1,196
Computer Networks,Reading Protocols,24,1,2,225
Artificial Intelligence,Math/Algorithm Review,16,2,2,208
Artificial Intelligence,Math/Algorithm Review,14,1,1,184
Software Engineering,System Design,9,2,2,157
Software Engineering,System Design,12,2,1,235
Software Engineering,Code Review,16,1,2,131
Computer Networks,Network Troubleshooting,8,2,2,121
Computer Networks,Configuring Routers,12,2,1,238
Computer Networks,Network Troubleshooting,23,2,2,368
Software Engineering,Debugging,8,2,1,134
Artificial Intelligence,Math/Algorithm Review,1,2,2,17
Software Engineering,Debugging,13,2,3,142
Artificial Intelligence,Data Preprocessing,23,1,1,200
Artificial Intelligence,Data Preprocessing,23,2,1,559
Artificial Intelligence,Model Training,14,2,3,150
Artificial Intelligence,Math/Algorithm Review,2,2,1,35
Computer Networks,Configuring Routers,16,2,1,241
Software Engineering,Writing Code,12,1,1,150
Software Engineering,Reading Documentation,14,1,2,117
Computer Networks,Lab Simulation,1,3,2,23
Artificial Intelligence,Writing Code,12,2,1,234
Computer Networks,Lab Simulation,2,3,2,35
Computer Networks,Network Troubleshooting,4,1,3,31
Computer Networks,Security Auditing,3,3,1,70
Software Engineering,System Design,14,2,3,131
Artificial Intelligence,Writing Code,4,2,1,73
Software Engineering,System Design,12,2,3,98
Software Engineering,Debugging,11,1,2,110
Software Engineering,Debugging,12,3,2,190
Software Engineering,Writing Code,16,2,2,242
Computer Networks,Reading Protocols,2,1,3,15
Computer Networks,Network Troubleshooting,6,2,2,94
Artificial Intelligence,Reading Research Papers,15,1,1,152
Software Engineering,Reading Documentation,10,2,1,228
Software Engineering,Reading Documentation,13,2,2,199
Artificial Intelligence,Data Preprocessing,20,2,3,174
Artificial Intelligence,Reading Research Papers,13,3,2,215
Software Engineering,Code Review,5,2,2,71
Software Engineering,System Design,17,1,1,183
Computer Networks,Network Troubleshooting,13,2,2,190
Computer Networks,Security Auditing,5,3,2,132
Software Engineering,Reading Documentation,18,2,2,294
Computer Networks,Reading Protocols,2,2,3,18
Artificial Intelligence,Model Training,11,2,3,121
Artificial Intelligence,Model Training,4,2,3,47
Software Engineering,Debugging,17,2,3,167
Computer Networks,Lab Simulation,5,1,2,47
Software Engineering,System Design,11,3,1,331
Artificial Intelligence,Model Training,10,2,3,88
Software Engineering,System Design,2,2,2,33
Computer Networks,Configuring Routers,7,3,1,198
Software Engineering,Reading Documentation,10,1,2,94
Software Engineering,Reading Documentation,14,2,1,285
Artificial Intelligence,Writing Code,1,1,1,17
Software Engineering,Reading Documentation,12,3,2,270
Software Engineering,Debugging,18,3,3,280
Software Engineering,Writing Code,1,3,1,19
Computer Networks,Reading Protocols,13,1,1,223
Artificial Intelligence,Model Training,21,2,2,385
Artificial Intelligence,Writing Code,5,2,1,102
Artificial Intelligence,Reading Research Papers,15,2,1,326
Artificial Intelligence,Writing Code,1,2,2,14
Software Engineering,System Design,6,2,1,113
Computer Networks,Configuring Routers,16,1,2,172
Artificial Intelligence,Reading Research Papers,6,2,3,60
Software Engineering,Writing Code,1,2,1,19
Artificial Intelligence,Reading Research Papers,2,2,2,26
Computer Networks,Security Auditing,15,1,1,181
Artificial Intelligence,Writing Code,21,2,1,325
Computer Networks,Security Auditing,17,3,1,484
Software Engineering,Writing Code,10,2,2,144
Computer Networks,Lab Simulation,22,2,2,365
Software Engineering,Reading Documentation,7,2,3,83
Computer Networks,Security Auditing,9,3,3,107
Computer Networks,Reading Protocols,3,2,3,28
Artificial Intelligence,Math/Algorithm Review,20,2,1,505
Computer Networks,Network Troubleshooting,20,2,1,436
Software Engineering,Code Review,11,2,2,155
Artificial Intelligence,Data Preprocessing,16,1,1,140
Software Engineering,System Design,1,2,2,14
Artificial Intelligence,Math/Algorithm Review,18,2,1,386
Computer Networks,Reading Protocols,12,2,1,212
Software Engineering,System Design,1,1,3,7
Computer Networks,Configuring Routers,8,1,1,107
Artificial Intelligence,Math/Algorithm Review,18,1,1,180
Software Engineering,Debugging,20,3,2,362
Computer Networks,Reading Protocols,15,3,1,370
Software Engineering,Writing Code,9,1,2,93
Artificial Intelligence,Model Training,24,1,1,362
Artificial Intelligence,Math/Algorithm Review,23,2,1,465
Artificial Intelligence,Writing Code,21,2,3,173
Software Engineering,Debugging,23,1,1,323
Computer Networks,Lab Simulation,12,2,1,224
Software Engineering,Writing Code,16,2,2,249
Software Engineering,Reading Documentation,15,3,1,398
Artificial Intelligence,Data Preprocessing,18,3,3,307
Artificial Intelligence,Reading Research Papers,10,1,1,144
Artificial Intelligence,Math/Algorithm Review,20,3,2,392
Computer Networks,Lab Simulation,23,1,1,373
Computer Networks,Network Troubleshooting,3,2,1,65
Software Engineering,Writing Code,22,1,2,197
Artificial Intelligence,Data Preprocessing,12,3,3,187
Computer Networks,Security Auditing,19,3,1,552
Computer Networks,Network Troubleshooting,3,1,2,28
Computer Networks,Configuring Routers,11,2,1,195
Software Engineering,Debugging,17,2,2,242
Software Engineering,Writing Code,14,1,2,138
Software Engineering,System Design,18,3,2,456
Computer Networks,Configuring Routers,21,2,1,490
Artificial Intelligence,Reading Research Papers,22,2,1,397
Artificial Intelligence,Reading Research Papers,20,2,2,285
Artificial Intelligence,Math/Algorithm Review,10,2,1,207
Artificial Intelligence,Math/Algorithm Review,22,1,1,188
Software Engineering,Debugging,7,2,3,67
Software Engineering,Debugging,5,2,3,59
Artificial Intelligence,Model Training,5,2,1,106
Computer Networks,Configuring Routers,6,1,1,92
Software Engineering,Reading Documentation,24,2,2,333
Computer Networks,Reading Protocols,22,3,2,454
Computer Networks,Network Troubleshooting,11,2,1,251
Artificial Intelligence,Math/Algorithm Review,23,2,2,276
Software Engineering,Writing Code,5,1,2,47
Software Engineering,System Design,24,1,3,119
Artificial Intelligence,Writing Code,16,2,1,282
Software Engineering,System Design,6,1,2,42
Software Engineering,System Design,1,3,2,22
Software Engineering,Code Review,19,2,2,222
Artificial Intelligence,Data Preprocessing,13,1,2,116
Computer Networks,Network Troubleshooting,11,1,2,88
Artificial Intelligence,Model Training,14,2,3,175
Artificial Intelligence,Math/Algorithm Review,14,3,1,404
Computer Networks,Security Auditing,14,2,2,237
Software Engineering,Debugging,20,2,2,206
Artificial Intelligence,Reading Research Papers,13,2,2,209
Artificial Intelligence,Data Preprocessing,21,3,2,512
Computer Networks,Reading Protocols,18,2,1,432
Artificial Intelligence,Data Preprocessing,13,1,2,133
Software Engineering,Reading Documentation,20,2,2,268
Computer Networks,Lab Simulation,1,3,2,21
Software Engineering,Debugging,8,2,2,126
Artificial Intelligence,Data Preprocessing,22,3,2,426
Computer Networks,Configuring Routers,23,1,2,231
Artificial Intelligence,Reading Research Papers,15,3,2,263
Artificial Intelligence,Model Training,11,3,1,253
Software Engineering,Debugging,17,2,1,295
Artificial Intelligence,Reading Research Papers,17,3,2,335
Computer Networks,Lab Simulation,8,2,3,92
Artificial Intelligence,Writing Code,3,3,1,83
Computer Networks,Network Troubleshooting,18,2,1,396
Software Engineering,Writing Code,12,2,3,97
Software Engineering,System Design,15,2,1,277
Software Engineering,Code Review,20,2,2,276
Software Engineering,Reading Documentation,12,1,1,179
Computer Networks,Network Troubleshooting,7,3,2,144
Computer Networks,Configuring Routers,7,3,3,105
Computer Networks,Network Troubleshooting,18,3,3,280
Artificial Intelligence,Math/Algorithm Review,24,1,1,323
Software Engineering,Code Review,3,3,1,90
Software Engineering,Debugging,7,1,2,82
Software Engineering,Code Review,6,2,1,93
Computer Networks,Network Troubleshooting,19,2,2,283
Software Engineering,Reading Documentation,23,2,1,575
Artificial Intelligence,Data Preprocessing,10,1,3,67
Artificial Intelligence,Reading Research Papers,11,2,3,124
Computer Networks,Network Troubleshooting,2,1,3,13
Software Engineering,Debugging,8,1,1,110
Artificial Intelligence,Math/Algorithm Review,3,2,1,69
Software Engineering,System Design,24,2,2,400
Computer Networks,Network Troubleshooting,9,2,2,111
Software Engineering,Writing Code,23,3,2,558
Artificial Intelligence,Reading Research Papers,10,1,2,103
Software Engineering,Writing Code,6,1,2,56
Computer Networks,Reading Protocols,16,2,2,212
Artificial Intelligence,Data Preprocessing,5,3,3,55
Software Engineering,Reading Documentation,20,2,2,323
Computer Networks,Network Troubleshooting,12,1,3,89
Software Engineering,System Design,19,2,1,333
Computer Networks,Security Auditing,24,2,2,373
Software Engineering,Code Review,20,3,3,319
Computer Networks,Network Troubleshooting,17,1,1,191
Software Engineering,Debugging,12,2,1,213
Computer Networks,Reading Protocols,18,3,1,654
Software Engineering,Reading Documentation,24,2,1,566
Computer Networks,Configuring Routers,7,1,2,70
Artificial Intelligence,Math/Algorithm Review,1,2,3,7
Artificial Intelligence,Data Preprocessing,16,1,2,171
Artificial Intelligence,Math/Algorithm Review,1,2,2,13
Artificial Intelligence,Model Training,22,2,1,344
Computer Networks,Configuring Routers,6,2,2,87
Artificial Intelligence,Data Preprocessing,6,2,3,57
Artificial Intelligence,Model Training,14,2,1,281
Software Engineering,Code Review,22,2,2,299
Computer Networks,Reading Protocols,20,1,1,263
Artificial Intelligence,Model Training,6,1,3,37
Computer Networks,Network Troubleshooting,5,2,1,111
Artificial Intelligence,Reading Research Papers,5,3,1,129
Computer Networks,Lab Simulation,5,2,2,74
Software Engineering,Code Review,10,2,2,166
Software Engineering,System Design,15,1,2,120
Computer Networks,Security Auditing,2,2,1,33
Software Engineering,System Design,18,1,3,148
Artificial Intelligence,Model Training,4,1,3,24
Computer Networks,Reading Protocols,1,2,1,21
Software Engineering,Debugging,12,1,1,136
Artificial Intelligence,Data Preprocessing,8,3,1,229
Artificial Intelligence,Writing Code,11,3,2,293
Artificial Intelligence,Model Training,23,2,2,415
Computer Networks,Lab Simulation,12,2,3,117
Artificial Intelligence,Writing Code,11,1,2,80
Artificial Intelligence,Data Preprocessing,1,2,2,16
Software Engineering,Debugging,2,2,2,20
Software Engineering,Writing Code,13,2,1,258
Artificial Intelligence,Data Preprocessing,24,3,1,655
Computer Networks,Configuring Routers,4,3,1,90
Software Engineering,Debugging,9,1,1,91
Artificial Intelligence,Reading Research Papers,19,2,3,197
Artificial Intelligence,Model Training,21,2,1,584
Computer Networks,Configuring Routers,3,1,1,32
Computer Networks,Reading Protocols,17,1,1,192
Artificial Intelligence,Writing Code,15,2,3,121
Artificial Intelligence,Writing Code,18,1,1,259
Computer Networks,Network Troubleshooting,6,2,3,54
Computer Networks,Network Troubleshooting,13,3,3,191
Artificial Intelligence,Model Training,9,1,3,69
Artificial Intelligence,Model Training,1,1,2,8
Artificial Intelligence,Writing Code,9,2,1,123
Computer Networks,Lab Simulation,8,2,1,159
Software Engineering,Code Review,8,2,1,186
Computer Networks,Network Troubleshooting,19,2,3,229
Computer Networks,Security Auditing,2,1,1,22
Computer Networks,Security Auditing,4,2,2,64
Artificial Intelligence,Data Preprocessing,4,1,2,37
Software Engineering,Debugging,19,1,2,144
Software Engineering,Code Review,13,2,2,184
Software Engineering,Code Review,17,2,3,117
Computer Networks,Security Auditing,12,1,1,170
Software Engineering,System Design,6,2,2,81
Software Engineering,Debugging,4,1,1,43
Computer Networks,Lab Simulation,9,2,2,107
Software Engineering,Code Review,13,2,2,200
Software Engineering,Debugging,16,2,2,181
Computer Networks,Network Troubleshooting,4,2,1,81
Artificial Intelligence,Math/Algorithm Review,14,2,1,280
Software Engineering,System Design,14,2,1,243
Computer Networks,Security Auditing,9,2,1,159
Artificial Intelligence,Data Preprocessing,1,1,1,10
Artificial Intelligence,Data Preprocessing,13,1,1,179
Artificial Intelligence,Writing Code,12,2,1,345
Computer Networks,Lab Simulation,12,1,1,171
Computer Networks,Security Auditing,2,1,2,17
Software Engineering,Writing Code,5,2,3,49
Computer Networks,Network Troubleshooting,8,2,1,159
Software Engineering,System Design,16,3,3,348
Computer Networks,Configuring Routers,4,1,3,26
Software Engineering,Writing Code,15,2,2,166
Software Engineering,Reading Documentation,16,1,1,205
Artificial Intelligence,Writing Code,9,3,2,228
Artificial Intelligence,Writing Code,22,2,3,224
Software Engineering,Code Review,24,2,1,575
Software Engineering,System Design,5,3,3,65
Software Engineering,Debugging,15,2,1,320
Artificial Intelligence,Math/Algorithm Review,23,2,1,559
Computer Networks,Security Auditing,6,1,2,59
Artificial Intelligence,Reading Research Papers,7,3,2,186
Computer Networks,Configuring Routers,10,2,1,192
Software Engineering,System Design,23,2,1,494
Artificial Intelligence,Writing Code,17,3,3,298
Artificial Intelligence,Math/Algorithm Review,2,2,1,31
Software Engineering,Writing Code,7,2,1,125
Computer Networks,Lab Simulation,20,3,3,388
Computer Networks,Configuring Routers,24,2,1,664
Artificial Intelligence,Data Preprocessing,4,3,1,106
Computer Networks,Lab Simulation,16,2,1,329
Software Engineering,Code Review,14,2,1,260
Software Engineering,Writing Code,8,2,1,137
Computer Networks,Configuring Routers,9,2,1,173
Artificial Intelligence,Model Training,19,1,3,109
Artificial Intelligence,Math/Algorithm Review,12,2,3,123
Computer Networks,Lab Simulation,14,2,2,227
Software Engineering,Reading Documentation,21,2,1,372
Software Engineering,Writing Code,19,2,3,201
Artificial Intelligence,Model Training,12,1,2,132
Computer Networks,Configuring Routers,9,2,1,198
Computer Networks,Security Auditing,11,1,1,134
Computer Networks,Network Troubleshooting,2,3,1,49
Computer Networks,Lab Simulation,21,2,3,168
Computer Networks,Network Troubleshooting,24,2,2,429
Software Engineering,Reading Documentation,19,1,1,199
Software Engineering,Debugging,18,2,1,478
Computer Networks,Reading Protocols,15,2,1,276
Software Engineering,Writing Code,3,2,2,41
Software Engineering,Code Review,18,2,3,182
Computer Networks,Security Auditing,17,2,1,465
Software Engineering,Code Review,24,2,2,364
Artificial Intelligence,Writing Code,24,3,1,709
Software Engineering,Code Review,22,2,1,490
Artificial Intelligence,Data Preprocessing,3,2,2,48
Computer Networks,Configuring Routers,21,2,1,408
Software Engineering,Debugging,6,2,2,96
Computer Networks,Network Troubleshooting,13,1,2,151
Computer Networks,Network Troubleshooting,11,1,1,121
Software Engineering,Code Review,13,2,1,347
Artificial Intelligence,Model Training,6,2,1,121
Software Engineering,System Design,15,2,1,285
Computer Networks,Lab Simulation,21,1,3,144
Computer Networks,Security Auditing,1,2,1,23
Artificial Intelligence,Model Training,12,2,1,289
Computer Networks,Security Auditing,20,2,1,386
Artificial Intelligence,Writing Code,19,3,2,480
Software Engineering,System Design,24,2,2,446
Artificial Intelligence,Writing Code,9,2,3,91
Software Engineering,Writing Code,12,2,1,215
Artificial Intelligence,Math/Algorithm Review,7,2,2,107
Software Engineering,System Design,18,1,2,189
Artificial Intelligence,Writing Code,2,2,2,30
Software Engineering,System Design,17,1,1,265
Computer Networks,Lab Simulation,24,1,3,176
Computer Networks,Network Troubleshooting,16,1,1,175
Computer Networks,Security Auditing,9,2,2,113
Computer Networks,Security Auditing,13,3,1,377
Computer Networks,Lab Simulation,18,2,2,215
Artificial Intelligence,Reading Research Papers,24,3,1,832
Artificial Intelligence,Model Training,1,1,2,11
Artificial Intelligence,Writing Code,13,2,3,131
Artificial Intelligence,Model Training,4,2,1,79
Artificial Intelligence,Reading Research Papers,7,2,3,76
Artificial Intelligence,Writing Code,15,2,2,257
Artificial Intelligence,Reading Research Papers,3,3,1,99
Artificial Intelligence,Data Preprocessing,18,2,2,309
Artificial Intelligence,Writing Code,22,2,1,515
Artificial Intelligence,Math/Algorithm Review,9,2,1,176
Artificial Intelligence,Model Training,21,3,1,670
Software Engineering,Reading Documentation,23,3,1,623
Artificial Intelligence,Data Preprocessing,3,1,1,33
Artificial Intelligence,Math/Algorithm Review,4,2,3,37
Computer Networks,Reading Protocols,14,3,3,208
Computer Networks,Lab Simulation,1,2,2,12
Artificial Intelligence,Model Training,1,3,1,30
Software Engineering,Debugging,24,2,2,310
Software Engineering,Writing Code,19,2,2,254
Software Engineering,Reading Documentation,17,1,2,191
Artificial Intelligence,Math/Algorithm Review,2,1,2,17
Software Engineering,Writing Code,13,1,1,178
Artificial Intelligence,Writing Code,18,3,2,404
Software Engineering,Writing Code,3,3,2,52
Software Engineering,System Design,16,1,1,254
Computer Networks,Security Auditing,4,1,3,30
Artificial Intelligence,Math/Algorithm Review,15,2,2,223
Computer Networks,Lab Simulation,6,1,1,85
Software Engineering,Code Review,19,1,3,118
Software Engineering,Reading Documentation,4,2,1,69
Computer Networks,Configuring Routers,9,1,3,48
Computer Networks,Network Troubleshooting,16,3,2,347
Software Engineering,Code Review,14,3,3,207
Computer Networks,Reading Protocols,19,2,1,351
Software Engineering,System Design,10,2,1,234
Artificial Intelligence,Writing Code,24,1,3,145
Software Engineering,System Design,24,1,1,343
Artificial Intelligence,Math/Algorithm Review,19,2,3,218
Computer Networks,Security Auditing,15,2,2,217
Artificial Intelligence,Reading Research Papers,11,2,1,248
Artificial Intelligence,Reading Research Papers,20,2,1,400
Software Engineering,Code Review,11,2,2,143
Software Engineering,Reading Documentation,20,3,2,381
Computer Networks,Network Troubleshooting,1,3,2,27
Artificial Intelligence,Data Preprocessing,8,1,2,77
Artificial Intelligence,Reading Research Papers,2,1,2,21
Artificial Intelligence,Writing Code,1,2,2,17
Computer Networks,Lab Simulation,17,1,3,111
Computer Networks,Reading Protocols,12,2,3,111
Artificial Intelligence,Reading Research Papers,11,1,2,88
Software Engineering,System Design,2,2,2,23
Software Engineering,Code Review,24,2,1,458
Computer Networks,Configuring Routers,6,1,3,44
Computer Networks,Reading Protocols,4,2,2,66
Software Engineering,Writing Code,10,2,1,265
Artificial Intelligence,Model Training,21,2,1,336
Artificial Intelligence,Reading Research Papers,23,1,2,191
Computer Networks,Security Auditing,8,2,2,131
Artificial Intelligence,Data Preprocessing,14,2,1,242
Software Engineering,Writing Code,18,3,3,301
Software Engineering,System Design,23,2,2,319
Software Engineering,Code Review,22,1,2,238
Artificial Intelligence,Model Training,22,2,3,224
Artificial Intelligence,Writing Code,1,2,2,12
Computer Networks,Lab Simulation,1,3,3,12
Artificial Intelligence,Math/Algorithm Review,18,2,1,399
Artificial Intelligence,Reading Research Papers,11,2,1,170
Computer Networks,Lab Simulation,1,3,1,31
Artificial Intelligence,Writing Code,12,2,1,262
Software Engineering,System Design,18,1,2,115
Software Engineering,Reading Documentation,20,2,1,462
Computer Networks,Lab Simulation,2,2,1,41
Artificial Intelligence,Math/Algorithm Review,3,2,1,69
Software Engineering,Code Review,4,3,1,114
Software Engineering,Code Review,8,2,1,180
Artificial Intelligence,Writing Code,4,2,1,73
Software Engineering,Debugging,16,1,2,133
Computer Networks,Lab Simulation,17,2,1,393
Computer Networks,Lab Simulation,3,2,1,61
Software Engineering,Reading Documentation,18,1,3,109
Artificial Intelligence,Data Preprocessing,22,1,3,175
Software Engineering,System Design,6,2,1,138
Artificial Intelligence,Reading Research Papers,24,3,1,604
Artificial Intelligence,Math/Algorithm Review,3,2,2,35
Software Engineering,System Design,3,3,2,64
Computer Networks,Lab Simulation,20,2,2,326
Artificial Intelligence,Data Preprocessing,16,1,2,156
Artificial Intelligence,Writing Code,23,1,3,149
Computer Networks,Security Auditing,19,2,2,295
Software Engineering,Writing Code,23,2,1,400
Artificial Intelligence,Reading Research Papers,18,1,1,249
Artificial Intelligence,Model Training,7,2,2,109
Artificial Intelligence,Writing Code,7,2,2,93
Artificial Intelligence,Model Training,7,2,1,140
Software Engineering,System Design,16,1,3,90
Software Engineering,Writing Code,14,2,1,342
Artificial Intelligence,Data Preprocessing,24,2,1,445
Artificial Intelligence,Model Training,22,2,1,490
Software Engineering,Reading Documentation,19,2,2,294
Artificial Intelligence,Model Training,8,1,3,62
Computer Networks,Lab Simulation,23,2,1,375
Computer Networks,Lab Simulation,5,2,1,100
Computer Networks,Reading Protocols,14,2,2,214
Artificial Intelligence,Data Preprocessing,19,2,1,355
Artificial Intelligence,Data Preprocessing,19,2,3,235
Computer Networks,Lab Simulation,5,3,2,115
Computer Networks,Lab Simulation,24,3,2,505
Computer Networks,Configuring Routers,22,1,2,164
Artificial Intelligence,Writing Code,11,2,1,191
Software Engineering,Code Review,11,2,2,204
Computer Networks,Lab Simulation,14,3,1,421
Computer Networks,Lab Simulation,22,2,1,534
Computer Networks,Network Troubleshooting,2,1,3,16
Software Engineering,Debugging,17,1,1,222
Software Engineering,Code Review,7,1,2,64
Computer Networks,Security Auditing,13,3,2,244
Software Engineering,Writing Code,7,2,3,64
Software Engineering,Code Review,11,2,2,179
Software Engineering,Debugging,5,2,1,111
Artificial Intelligence,Reading Research Papers,17,1,3,117
Software Engineering,Code Review,22,2,1,518
Software Engineering,Debugging,3,2,1,77
Artificial Intelligence,Math/Algorithm Review,11,2,2,161
Artificial Intelligence,Data Preprocessing,22,2,1,553
Computer Networks,Network Troubleshooting,24,1,2,251
Software Engineering,System Design,7,3,2,102
Software Engineering,System Design,23,3,1,821
Computer Networks,Lab Simulation,5,1,1,73
Artificial Intelligence,Math/Algorithm Review,20,2,1,495
Software Engineering,System Design,17,2,2,223
Computer Networks,Lab Simulation,7,1,3,50
Computer Networks,Network Troubleshooting,9,2,1,167
Computer Networks,Reading Protocols,24,2,1,607
Computer Networks,Lab Simulation,24,3,2,437
Artificial Intelligence,Math/Algorithm Review,22,1,1,345
Computer Networks,Lab Simulation,15,2,2,232
Computer Networks,Configuring Routers,16,1,2,130
Artificial Intelligence,Data Preprocessing,22,1,3,136
Artificial Intelligence,Model Training,5,1,2,50
Computer Networks,Reading Protocols,15,3,1,452
Software Engineering,Writing Code,15,3,2,380
Artificial Intelligence,Writing Code,5,1,2,54
Computer Networks,Configuring Routers,5,3,2,102
Software Engineering,Debugging,11,1,2,106
Artificial Intelligence,Reading Research Papers,11,2,2,153
Artificial Intelligence,Reading Research Papers,24,2,2,464
Software Engineering,Code Review,8,2,2,95
Artificial Intelligence,Reading Research Papers,8,2,1,151
Computer Networks,Lab Simulation,19,2,1,379
Software Engineering,Writing Code,7,3,2,166
Computer Networks,Reading Protocols,4,2,2,62
Artificial Intelligence,Math/Algorithm Review,2,2,3,23
Artificial Intelligence,Reading Research Papers,12,2,2,207
Artificial Intelligence,Writing Code,18,1,3,136
Computer Networks,Security Auditing,24,2,2,331
Computer Networks,Reading Protocols,19,2,3,207
Computer Networks,Configuring Routers,8,2,2,109
Software Engineering,Reading Documentation,7,3,3,105
Computer Networks,Lab Simulation,22,1,2,225
Computer Networks,Network Troubleshooting,11,1,3,69
Software Engineering,Debugging,2,2,1,42
Software Engineering,Debugging,23,1,1,344
